Key,English,Dutch
internal.locale,en_US,nl_NL
internal.language,English,Nederlands
internal.version,1,1
COMMAND.API.BADUSAGE,&cInvalid command usage!,&cOngeldig commando!
COMMAND.API.USAGE,USAGE: %s,GEBRUIK: %s
COMMAND.API.REQUIREMENTS.INVALIDPLAYER,&cThis command cannot be used by players.,&cDit commando kan niet door spelers gebruikt worden.
COMMAND.API.REQUIREMENTS.INVALIDCONSOLE,&cThis command cannot be used by the console.,&cDit commando kan niet door de console gebruikt worden.
COMMAND.API.REQUIREMENTS.INVALIDREMOTE,&cThis command cannot be used by RCON.,&cDit commando kan niet extern gebruikt worden.
COMMAND.API.REQUIREMENTS.INVALIDBLOCK,&cThis command cannot be used by command blocks.,&cDit commando kan niet door een commandoblok gebruikt worden.
COMMAND.API.REQUIREMENTS.NOPERMISSION,&cYou do not have the permission required for this command: &6%s,&cJe hebt niet de vereiste toestemming voor dit commando: &6%s
COMMAND.ROOT.DESCRIPTION,Show information about the plugin and authors.,Toon informatie over de plugin en auteurs.
COMMAND.ROOT.DETAILS,&7Running &6%s &cv%s&7.<br>&7Use &6%s &7to view available commands.,&7Uitvoeren van &6%s &cv%s&7.<br>&7Gebruik &6%s &7om beschikbare commando's te tonen.
COMMAND.BALANCE.DESCRIPTION,"Show wallet address, eth, enj, and token balances.","Toon portefeuilleadres, eth, enj en token saldi."
COMMAND.BALANCE.WALLETADDRESS,&6Wallet Address: &d%s,&6Portefeuilleadres: &d%s
COMMAND.BALANCE.IDENTITYID,&6Identity ID: &d%s,&6Identiteit ID: &d%s
COMMAND.BALANCE.ENJBALANCE,&a[ %s ENJ ],&a[ %s ENJ ]
COMMAND.BALANCE.ETHBALANCE,&a[ %s ETH ],&a[ %s ETH ]
COMMAND.BALANCE.TOKENDISPLAY,&6%s. &5%s &a(qty. %s),&6%s. &5%s &a(qty. %s)
COMMAND.BALANCE.NOTOKENS,&l&6No tokens found in your wallet.,&l&6Geen tokens gevonden in portefeuille.
COMMAND.BALANCE.TOKENCOUNT,&l&6Found %s tokens in your wallet.,&l&6%s tokens gevonden in portefeuille.
COMMAND.HELP.DESCRIPTION,Show list of commands with their usage.,Toon lijst van commando's en hun gebruik.
COMMAND.LINK.DESCRIPTION,Show linking code or linked address.,Toon koppelingscode of gekoppeld adres.
COMMAND.LINK.NULLWALLET,&cUnable to show your wallet address.,&cJe portefeuilleadres kan niet worden weergegeven.
COMMAND.LINK.SHOWWALLET,&aYour account is linked to the wallet address: &6%s,&aJe account is gekoppeld aan het portefeuilleadres: &6%s
COMMAND.LINK.NULLCODE,&cUnable to show your identity linking code.,&cJe identiteitkoppelingscode kan niet worden weergegeven.
COMMAND.LINK.INSTRUCTIONS.1,&6To link your account follow the steps below:,&6Volg onderstaande stappen om je account te koppelen:
COMMAND.LINK.INSTRUCTIONS.2,&7Download the Enjin Wallet app for Android or iOS,&7Download de Enjin Wallet app voor Android of iOS
COMMAND.LINK.INSTRUCTIONS.3,&7Browse to the Linked Apps section,&7Ga naar 'Gekoppelde Apps'
COMMAND.LINK.INSTRUCTIONS.4,&7Click the 'LINK APP' button,&7Klik op de 'LINK APP' knop
COMMAND.LINK.INSTRUCTIONS.5,&7Select the wallet you wish to link,&7Selecteer de portefeuille die je wilt koppelen
COMMAND.LINK.INSTRUCTIONS.6,&7Enter the identity linking code shown below,&7Voer onderstaande koppelingscode in
COMMAND.LINK.INSTRUCTIONS.7,&aLink Code: &6%s,&aKoppelingscode: &6%s
COMMAND.DEVSEND.DESCRIPTION,Send a token from the developer wallet to a player.,Stuur een token van de ontwikkelaarsportefeuille naar een speler.
COMMAND.DEVSEND.INVALIDAMOUNT,&cA valid amount to send must be specified.,&cVoer een geldige hoeveelheid in.
COMMAND.DEVSEND.INVALIDTOKEN,&cA valid id for the token must be specified.,&cVoer een geldige token id in.
COMMAND.SEND.DESCRIPTION,Send the held token to another player.,Stuur de vastgehouden token naar een andere speler
COMMAND.SEND.SUBMITTED,&aSend request submitted successfully. Please confirm the request in your wallet app.,&aVerzendverzoek succesvol verstuurd. Bevestig a.u.b. het verzoek in je portefeuille app.
COMMAND.SEND.MUSTHOLDITEM,&cYou must hold the tokenized item you wish to send.,&cJe moet de token die je wil versturen vasthouden.
COMMAND.SEND.ITEMNOTTOKEN,&cThe held item is not associated with a token.,&cHet vastgehouden item is niet gekoppeld aan een token.
COMMAND.SEND.DOESNOTHAVETOKEN,&cYou can not send a token you do not have.,Je kunt geen token versturen die je niet bezit.
COMMAND.CONF.DESCRIPTION,Perform operations on the plugin configuration.,Bewerk de pluginconfiguratie.
COMMAND.CONF.SET.DESCRIPTION,Set new value for config option.,Stel een nieuwe waarde in voor de configuratieoptie
COMMAND.CONF.SET.LANG.DESCRIPTION,Set the default language to use.,Stel een standaard taal in.
COMMAND.CONF.SET.LANG.NOTFOUND,&cThat is not a valid language option.,&cDat is geen geldige taal optie
COMMAND.CONF.SET.LANG.SUCCESS,&aYou have set the server language to &6%s!,&aJe hebt de servertaal veranderd naar &6%s!
COMMAND.TOKEN.DESCRIPTION,Perform operations on token definitions.,Bewerk tokendefinities
